feedback_id,session_id,exercise_id,difficulty_1_10,mmc_1_10,discomfort_1_10
144,30,77,6.3,8.7,2.6
145,31,411,4.5,7.3,1.1
146,31,23,9.8,8.1,3.3
147,31,339,5.5,8.4,3.4
148,31,234,7.5,8.4,3.5
149,32,400,6.9,9.1,4.2
150,32,219,5.5,10.0,2.6
151,32,130,4.4,10.0,0.8
152,32,96,6.5,7.3,3.4
153,32,37,5.3,9.7,3.0
154,32,39,5.7,10.0,3.5
155,33,154,5.9,9.0,2.9
156,33,395,5.0,7.5,2.0
157,33,387,6.1,5.4,3.7
158,33,94,7.8,6.5,2.8
159,34,263,8.0,8.9,2.4
160,34,13,6.2,6.3,2.9
161,34,114,5.9,7.8,2.9
162,34,299,5.6,10.0,1.8
163,34,87,6.7,7.1,1.0
164,35,289,4.7,7.1,2.1
165,35,138,7.7,9.4,2.2
166,35,168,7.2,7.5,2.3
167,35,266,4.9,6.4,3.6
168,35,401,7.1,5.9,3.6
169,35,126,5.2,8.2,2.4
170,36,330,6.5,8.5,1.3
171,36,10,5.4,5.8,3.0
172,36,416,6.5,7.1,0.2
173,36,291,3.2,7.2,1.4
174,37,177,5.8,9.7,2.0
175,37,301,8.7,7.9,3.8
176,37,4,4.9,8.9,1.3
177,37,80,6.5,7.9,2.5
178,37,323,5.8,6.9,3.6
179,38,235,7.6,7.5,1.9
180,38,294,6.8,7.6,1.3
181,38,95,6.1,8.5,2.1
182,38,391,6.4,7.0,1.5
183,39,166,8.0,6.4,1.4
184,39,164,6.5,8.7,0.6
185,39,7,7.0,10.0,2.3
186,39,103,5.1,7.4,3.1
187,39,63,7.4,8.1,2.2
188,39,353,6.4,8.6,3.4
189,40,2,6.6,9.3,4.4
190,40,394,6.0,8.0,2.3
191,40,202,7.7,8.9,1.5
192,40,414,5.6,6.5,3.2
193,41,266,8.8,5.8,1.1
194,41,283,5.4,8.6,4.1
195,41,37,7.6,7.1,1.7
196,41,377,9.1,7.8,2.1
197,42,357,8.8,7.8,2.9
198,42,234,6.5,8.8,1.6
199,42,197,5.7,6.9,3.0
200,42,21,6.2,7.3,4.9
201,43,76,5.7,6.9,1.6
202,43,282,6.9,6.2,1.6
203,43,169,9.5,9.0,3.4
204,43,103,6.4,8.0,1.6
205,44,256,7.5,5.3,1.7
206,44,262,5.1,7.5,2.4
207,44,134,5.5,8.0,2.6
208,44,235,7.3,10.0,1.1
209,44,60,7.2,9.5,2.8
210,45,7,3.4,8.6,2.5
211,45,260,6.5,6.6,2.2
212,45,10,5.2,8.8,2.1
213,45,379,9.4,7.5,2.7
214,45,18,7.1,10.0,2.5
215,45,353,8.0,9.5,0.9
216,46,411,6.4,8.0,1.4
217,46,206,4.8,6.6,1.4
218,46,235,5.6,8.0,0.0
219,46,57,6.0,7.9,2.3
220,47,134,6.6,9.5,3.0
221,47,94,5.3,9.0,1.8
222,47,223,6.6,8.8,3.3
223,47,55,5.1,8.1,0.7
224,47,232,5.3,8.5,0.0
225,48,220,7.8,9.0,1.1
226,48,103,7.0,7.0,1.7
227,48,166,6.5,9.3,1.8
228,48,276,5.3,6.6,1.5
229,48,185,7.5,8.5,0.0
230,49,181,7.2,9.1,1.9
231,49,90,5.8,8.0,1.6
232,49,207,6.0,9.8,2.7
233,49,349,4.3,8.2,1.6
234,50,18,5.0,7.1,0.4
235,50,103,6.5,7.7,2.0
236,50,280,7.1,9.0,2.1
237,50,79,8.8,6.5,2.7
238,50,119,5.9,7.8,2.3
239,51,368,5.8,6.7,2.3
240,51,371,4.5,8.4,4.6
241,51,100,5.7,8.1,2.6
242,51,141,4.5,7.0,2.6
243,52,410,8.4,7.9,4.4
244,52,369,8.1,8.2,2.2
245,52,134,5.5,10.0,2.8
246,52,273,5.6,6.0,1.9
247,52,374,6.7,7.5,1.8
248,53,219,7.5,8.2,2.5
249,53,419,6.2,6.0,2.4
250,53,126,6.3,6.7,1.4
251,53,8,5.1,5.1,1.7
252,53,345,7.5,9.5,2.5
253,53,111,3.6,8.0,1.4
254,54,127,6.0,8.2,3.5
255,54,323,7.6,8.0,3.6
256,54,4,6.5,8.7,0.7
257,54,240,5.9,7.9,2.7
258,54,196,8.3,7.5,2.4
259,55,203,7.3,8.0,2.1
260,55,140,9.0,7.8,1.9
261,55,335,7.0,10.0,2.5
262,55,248,8.5,8.4,2.1
263,55,29,6.2,6.5,2.0
264,55,268,5.3,8.4,2.9
265,56,58,4.4,6.9,3.4
266,56,357,9.1,6.8,0.4
267,56,180,6.6,7.7,1.8
268,56,307,5.0,9.2,2.2
269,56,207,5.2,8.2,3.1
270,57,103,6.9,8.2,1.0
271,57,185,8.2,9.6,1.0
272,57,76,5.3,9.1,2.2
273,57,161,6.1,6.6,2.4
274,57,379,4.0,8.4,2.8
275,57,407,7.2,8.5,1.3
276,58,331,6.0,7.1,2.4
277,58,376,5.2,9.1,2.6
278,58,339,7.1,7.1,3.4
279,58,12,6.4,7.2,0.6
280,58,281,6.8,8.3,2.1
281,58,149,5.9,8.6,2.6
282,59,48,6.6,5.9,2.8
283,59,72,5.7,10.0,2.3
284,59,305,7.0,8.2,2.3
285,59,252,6.2,8.4,2.6
286,59,377,3.5,7.9,3.2
287,60,262,6.9,7.7,1.0
288,60,22,7.3,8.7,3.1
289,60,77,5.3,7.9,1.8
290,60,406,5.9,7.4,2.6
291,61,307,5.8,7.4,3.3
292,61,203,6.3,6.7,2.7
293,61,131,7.1,7.2,1.1
294,61,34,5.9,7.9,1.7
295,61,395,8.1,10.0,1.6
296,62,266,5.9,8.3,2.0
297,62,179,7.4,8.9,2.5
298,62,344,7.0,10.0,2.2
299,62,195,5.9,6.7,4.2
300,62,401,7.7,8.8,2.5
301,63,373,6.6,8.3,2.8
302,63,403,7.7,7.9,2.9
303,63,310,9.2,8.4,5.0
304,63,287,4.4,8.7,1.5
305,64,372,3.3,9.5,2.0
306,64,8,5.6,8.2,2.7
307,64,219,5.7,7.3,2.3
308,64,319,8.6,7.8,1.1
309,64,158,5.7,8.7,2.0
310,64,93,7.0,10.0,3.1
311,65,165,6.1,7.5,1.3
312,65,161,6.0,6.5,2.2
313,65,212,6.2,9.4,2.7
314,65,246,5.2,6.4,2.2
315,65,264,8.2,8.6,2.3
316,66,130,7.6,6.5,3.0
317,66,338,7.4,6.8,2.8
318,66,283,3.7,5.0,3.4
319,66,400,8.3,7.1,3.0
320,66,74,6.9,8.3,2.9
321,66,244,5.3,8.1,2.1
322,67,322,5.2,6.6,0.8
323,67,131,8.0,7.1,2.5
324,67,136,5.4,6.2,0.5
325,67,393,6.3,6.5,3.8
326,67,78,7.0,7.6,1.9
327,68,310,5.3,8.8,2.5
328,68,390,5.2,7.9,2.0
329,68,352,6.6,6.8,2.0
330,68,295,8.2,9.0,2.4
331,69,306,5.5,7.6,1.3
332,69,260,7.7,6.4,2.3
333,69,4,6.4,6.7,2.0
334,69,229,6.1,8.1,2.6
335,69,18,7.8,5.5,0.1
336,70,81,6.6,10.0,2.4
337,70,193,6.2,6.4,0.6
338,70,272,6.4,9.3,2.4
339,70,232,8.9,9.2,3.4
340,70,391,4.4,7.5,4.2
341,71,215,5.5,6.6,0.4
342,71,105,7.5,5.9,3.9
343,71,373,8.6,7.7,2.9
344,71,249,4.2,9.4,1.9
345,72,121,5.7,7.4,2.7
346,72,143,7.5,8.7,1.7
347,72,72,5.6,6.6,2.3
348,72,162,6.3,9.6,1.4
349,72,167,6.6,9.1,0.6
350,72,344,5.6,8.7,2.0
351,73,95,5.2,6.8,2.9
352,73,112,7.0,9.2,2.6
353,73,262,5.9,7.3,2.5
354,73,53,6.8,8.3,2.4
355,73,136,8.0,7.8,3.1
356,74,44,5.7,7.6,1.1
357,74,141,7.1,10.0,1.7
358,74,27,5.2,7.5,3.1
359,74,420,5.7,8.9,1.1
360,75,307,6.8,9.5,1.8
361,75,77,6.4,9.6,2.4
362,75,94,7.2,5.2,1.9
363,75,112,3.8,6.5,1.3
364,75,134,5.1,6.6,1.6
365,76,85,7.7,7.3,3.0
366,76,257,7.2,8.3,0.3
367,76,69,8.3,7.8,0.0
368,76,305,7.2,8.0,3.0
369,76,253,5.6,8.2,1.4
370,76,239,6.6,6.9,2.4
371,77,291,6.9,9.5,4.3
372,77,265,7.2,7.6,3.0
373,77,260,7.9,7.6,2.2
374,77,161,7.2,9.9,1.6
375,77,99,7.6,7.4,2.6
376,77,194,5.8,8.3,2.6
377,78,34,8.1,7.9,1.5
378,78,386,7.3,10.0,1.7
379,78,202,5.3,8.9,3.0
380,78,22,5.2,6.5,0.7
381,78,192,9.4,8.8,3.1
382,78,267,6.9,7.9,1.9
383,79,330,7.9,8.0,1.6
384,79,384,8.4,6.5,1.9
385,79,113,4.9,6.7,3.4
386,79,276,8.2,8.4,1.7
387,79,217,6.0,10.0,2.3
388,79,208,6.1,6.2,2.0
389,80,173,6.4,6.8,2.4
390,80,244,4.1,9.6,2.0
391,80,221,5.4,7.4,2.1
392,80,396,7.1,9.5,2.5
393,80,150,4.5,10.0,0.6
394,80,201,6.7,8.8,2.7
395,81,255,5.7,7.7,2.8
396,81,330,7.2,10.0,1.0
397,81,51,5.2,10.0,3.1
398,81,63,7.7,7.0,2.1
399,81,80,6.9,7.8,2.0
400,81,169,6.5,9.1,3.4
401,82,167,7.5,8.9,2.6
402,82,279,6.8,8.5,2.5
403,82,83,7.7,9.2,2.6
404,82,356,7.8,9.2,2.7
405,82,72,6.5,8.2,1.1
406,83,300,6.2,6.4,3.4
407,83,32,4.4,4.9,1.6
408,83,12,7.9,7.7,2.0
409,83,224,7.5,6.9,1.7
410,83,272,4.0,6.0,2.3
411,84,48,4.7,7.5,2.1
412,84,50,5.6,7.6,1.3
413,84,356,7.5,8.4,1.3
414,84,352,7.5,6.7,3.3
415,84,257,6.5,10.0,1.6
416,84,344,5.1,7.2,3.7
417,85,166,8.9,6.1,3.3
418,85,10,7.1,9.0,1.6
419,85,151,5.2,8.9,1.6
420,85,164,6.2,9.3,1.1
421,86,60,7.6,8.3,1.2
422,86,267,5.9,9.5,0.4
423,86,190,6.8,8.1,0.9
424,86,205,7.4,8.6,1.4
425,87,114,6.9,9.0,2.1
426,87,174,5.2,8.2,2.1
427,87,201,5.4,5.3,3.6
428,87,239,5.6,8.7,1.2
429,87,375,8.2,8.1,1.6
430,87,158,3.6,7.5,2.4
431,88,248,5.4,8.3,2.6
432,88,36,7.8,9.8,0.8
433,88,115,8.6,7.2,3.0
434,88,57,6.5,9.3,2.4
435,88,369,8.9,8.4,1.5
436,88,19,7.7,9.9,1.5
437,89,36,7.2,9.0,1.5
438,89,393,6.6,7.1,2.4
439,89,125,5.4,7.0,1.8
440,89,267,6.2,8.1,2.2
441,89,197,6.4,7.0,1.9
442,90,245,7.7,7.1,2.0
443,90,263,5.5,8.6,2.6
444,90,252,5.8,8.8,2.8
445,90,355,6.5,5.7,1.8
446,91,405,4.7,7.3,2.0
447,91,388,7.8,7.0,3.2
448,91,257,8.2,8.7,1.6
449,91,96,7.1,8.0,3.1
450,92,329,8.6,5.5,1.6
451,92,330,5.3,7.9,1.6
452,92,163,7.0,8.1,2.3
453,92,240,8.7,8.2,3.6
454,93,136,5.5,9.1,3.8
455,93,203,7.0,7.6,1.9
456,93,206,5.5,5.2,3.3
457,93,207,4.6,7.3,1.3
458,94,116,6.0,7.3,1.6
459,94,103,4.5,9.1,2.1
460,94,231,5.0,7.8,1.5
461,94,282,8.2,7.3,2.5
462,95,175,4.4,8.5,3.2
463,95,90,6.6,7.6,2.0
464,95,112,7.3,5.6,2.8
465,95,109,5.6,7.8,2.8
466,95,328,5.8,8.2,1.8
467,95,36,7.5,5.6,0.9
468,96,127,5.6,7.2,2.0
469,96,7,7.2,8.6,2.0
470,96,103,4.0,6.8,0.9
471,96,379,8.5,7.7,1.7
472,96,216,7.1,10.0,2.0
473,96,204,7.3,8.1,3.2
474,97,403,6.3,6.1,3.6
475,97,405,5.8,8.6,4.6
476,97,336,5.8,7.5,3.0
477,97,295,4.3,7.8,2.1
478,97,20,5.5,9.3,2.4
479,98,42,5.1,9.7,2.7
480,98,194,7.0,8.2,1.2
481,98,397,7.2,6.6,1.8
482,98,199,7.6,9.7,3.0
483,98,398,7.7,8.9,2.2
484,98,379,8.9,7.8,4.8
485,99,239,5.5,9.1,3.5
486,99,333,4.1,6.3,3.8
487,99,312,7.7,8.7,0.1
488,99,143,6.1,7.1,1.5
489,99,309,9.0,7.1,3.1
490,100,177,7.4,8.5,0.0
491,100,185,5.2,6.8,0.3
492,100,92,4.9,6.3,0.7
493,100,392,7.4,7.5,3.8
494,100,18,4.9,6.6,2.8
495,101,234,9.2,7.1,2.3
496,101,109,7.3,9.5,4.0
497,101,190,6.6,7.7,3.2
498,101,214,6.5,8.9,2.3
499,102,37,4.2,6.8,5.0
500,102,390,6.0,7.8,1.8
501,102,350,3.1,8.0,1.6
502,102,184,6.0,8.5,2.0
503,102,356,7.8,7.3,2.5
504,102,186,4.4,10.0,0.8
505,103,57,5.9,8.6,2.9
506,103,193,4.9,6.0,2.4
507,103,394,6.7,9.5,2.5
508,103,58,3.7,8.2,0.0
509,104,182,9.7,6.9,3.0
510,104,347,7.2,8.1,2.4
511,104,299,6.0,6.7,3.3
512,104,218,2.1,6.9,1.9
513,104,105,6.5,7.0,2.9
514,104,403,7.4,9.7,1.0
515,105,33,6.7,7.0,2.9
516,105,413,4.2,5.9,2.0
517,105,322,5.3,8.5,2.1
518,105,300,8.1,8.2,2.8
519,105,193,5.3,7.8,1.7
520,106,105,5.5,9.4,1.6
521,106,141,7.2,8.3,1.7
522,106,390,5.1,7.2,2.1
523,106,31,6.7,9.2,0.6
524,106,375,6.9,8.3,2.8
525,106,121,6.7,7.6,1.4
526,107,172,6.4,5.4,2.0
527,107,135,4.7,8.3,1.1
528,107,190,7.6,7.3,2.4
529,107,207,5.3,8.5,0.8
530,107,61,4.6,10.0,2.0
531,108,100,6.0,8.9,1.0
532,108,249,7.8,9.1,3.8
533,108,286,6.1,7.1,1.0
534,108,319,7.4,9.9,1.5
535,109,321,6.8,7.6,2.6
536,109,239,6.4,5.5,3.1
537,109,129,8.0,6.3,4.5
538,109,263,6.8,7.0,3.2
539,109,27,6.4,10.0,0.9
540,110,199,4.8,8.8,0.4
541,110,165,6.6,8.6,2.9
542,110,365,4.7,8.3,1.8
543,110,288,6.5,5.7,1.8
544,110,151,6.2,7.8,2.1
545,110,166,6.5,8.3,3.2
546,111,151,6.5,9.4,3.1
547,111,216,6.2,8.1,1.8
548,111,155,6.5,9.9,1.9
549,111,208,5.5,7.5,0.8
550,111,288,7.1,8.5,2.3
551,112,164,4.8,8.7,3.8
552,112,240,7.0,7.4,3.0
553,112,250,8.1,8.0,2.6
554,112,92,7.5,6.9,2.8
555,112,353,7.9,8.5,2.7
556,112,165,7.0,8.1,3.0
557,113,393,5.0,4.9,3.0
558,113,406,7.3,4.8,2.6
559,113,157,7.3,5.4,3.4
560,113,49,4.2,7.2,2.1
561,113,153,6.8,8.0,1.4
562,113,256,4.1,7.4,1.0
563,114,116,7.0,9.0,4.6
564,114,169,7.2,7.8,3.5
565,114,5,7.0,8.7,3.4
566,114,325,6.4,6.2,4.2
567,114,165,4.1,5.6,2.8
568,115,88,4.0,7.0,2.2
569,115,382,6.1,8.1,1.8
570,115,26,5.8,8.1,1.1
571,115,58,6.7,8.1,0.5
572,115,153,6.4,8.6,3.1
573,116,158,5.7,7.1,1.3
574,116,258,4.1,9.7,0.0
575,116,222,8.6,10.0,2.9
576,116,129,5.8,8.5,0.9
577,116,174,7.0,7.9,3.4
578,117,169,6.9,9.6,2.3
579,117,330,5.8,8.6,4.7
580,117,194,5.2,9.9,1.4
581,117,176,6.1,5.6,2.3
582,117,4,6.1,7.7,2.0
583,118,65,4.7,8.9,0.0
584,118,255,5.2,8.7,2.5
585,118,353,6.8,7.7,0.5
586,118,260,4.5,7.8,3.2
587,118,264,7.4,9.6,2.6
588,118,116,7.1,7.9,2.4
589,119,254,5.9,6.4,1.9
590,119,83,6.2,7.9,2.3
591,119,100,7.6,9.4,3.8
592,119,347,6.1,6.5,1.6
593,119,343,7.5,7.1,3.4
594,119,85,5.1,9.2,2.9
595,120,91,5.2,9.8,3.0
596,120,129,6.5,10.0,2.1
597,120,318,6.1,7.6,2.5
598,120,219,4.7,9.8,2.0
599,120,107,6.1,7.0,3.2
600,121,265,6.7,6.7,2.9
601,121,240,7.3,6.7,4.1
602,121,169,5.0,7.5,1.7
603,121,379,8.0,6.4,3.1
604,121,171,7.9,8.1,4.8
605,121,176,4.9,9.8,2.8
606,122,240,6.5,6.3,3.7
607,122,151,3.9,9.3,3.3
608,122,101,6.8,9.7,3.2
609,122,392,8.0,9.5,2.2
610,123,157,6.0,8.6,0.6
611,123,26,4.6,8.2,1.4
612,123,228,8.1,7.1,0.5
613,123,391,5.6,8.3,3.4
614,123,95,7.2,8.4,2.4
615,123,335,5.9,5.9,1.0
616,124,155,7.4,8.0,3.9
617,124,379,7.0,7.5,2.2
618,124,323,7.2,8.5,2.1
619,124,329,5.6,8.5,0.9
620,124,127,6.6,8.3,2.3
621,125,112,6.8,7.0,2.8
622,125,238,4.5,6.8,0.8
623,125,406,5.8,7.1,1.6
624,125,351,6.6,7.6,2.9
625,125,77,5.5,8.2,0.2
626,126,151,6.6,8.3,2.7
627,126,113,5.1,6.3,2.5
628,126,76,7.5,7.5,0.6
629,126,416,7.0,7.8,2.6
630,126,65,7.7,9.1,1.6
631,127,149,7.2,6.8,1.3
632,127,2,8.7,9.4,3.3
633,127,247,6.5,6.0,3.3
634,127,175,6.4,8.6,4.0
635,127,136,6.9,8.0,2.2
636,128,107,4.5,6.2,1.3
637,128,356,5.6,8.7,4.2
638,128,372,7.8,10.0,3.6
639,128,287,6.7,8.7,1.4
640,129,374,7.2,8.5,0.7
641,129,180,4.0,8.7,2.9
642,129,23,8.5,6.8,1.7
643,129,115,8.8,10.0,2.8
644,130,221,5.4,7.0,0.9
645,130,39,5.3,7.5,1.0
646,130,263,3.4,9.9,2.1
647,130,71,6.0,9.9,1.5
648,130,106,4.4,9.3,2.4
649,131,206,6.3,6.9,1.5
650,131,203,7.2,9.0,2.5
651,131,192,5.0,7.0,2.5
652,131,267,6.2,4.7,2.0
653,131,339,5.7,8.4,2.1
654,131,223,4.4,9.2,3.5
655,132,175,6.9,8.1,1.2
656,132,417,6.2,7.0,2.4
657,132,17,5.1,8.5,0.4
658,132,262,6.2,7.4,1.4
659,132,376,5.8,6.1,2.4
660,132,322,6.5,6.0,1.7
661,133,253,6.0,7.8,2.7
662,133,347,6.0,7.1,1.0
663,133,97,6.0,6.0,2.2
664,133,336,7.1,8.6,3.2
665,133,345,6.7,8.6,2.5
666,134,384,6.0,8.1,2.2
667,134,404,5.1,9.1,2.9
668,134,7,6.5,7.1,3.7
669,134,240,5.5,7.7,1.1
670,134,416,6.4,6.9,2.4
671,134,260,5.8,7.1,1.2
672,135,395,5.4,7.0,2.8
673,135,247,3.3,7.8,1.6
674,135,90,6.8,7.6,1.1
675,135,232,7.2,10.0,2.6
676,136,265,7.7,8.0,4.5
677,136,103,5.0,6.3,2.3
678,136,416,4.4,8.3,1.9
679,136,323,7.3,6.5,1.2
680,137,53,5.7,7.1,3.0
681,137,268,6.8,9.0,2.1
682,137,410,7.6,7.7,4.1
683,137,304,6.2,6.3,2.9
684,138,288,9.3,6.2,1.6
685,138,176,4.8,8.0,1.3
686,138,194,7.5,5.8,3.5
687,138,365,6.3,10.0,2.1
688,138,229,6.5,6.8,2.9
689,138,398,5.1,7.5,2.0
690,139,222,6.5,9.6,1.0
691,139,318,3.8,10.0,0.9
692,139,356,9.0,7.1,3.6
693,139,13,7.9,8.2,2.3
694,140,109,7.7,7.5,1.7
695,140,33,6.4,7.1,1.4
696,140,49,5.2,6.1,1.4
697,140,346,6.4,8.7,2.5
698,141,260,5.9,8.7,1.7
699,141,242,7.6,7.6,0.8
700,141,63,7.4,7.9,1.9
701,141,119,6.5,7.5,2.3
702,141,298,6.8,7.8,3.6
703,142,95,8.1,7.7,3.4
704,142,382,6.7,8.2,3.0
705,142,335,4.8,8.6,3.0
706,142,53,5.0,7.9,2.4
707,143,276,5.0,8.2,2.0
708,143,76,5.2,8.1,2.3
709,143,324,7.0,9.0,1.7
710,143,416,6.2,8.0,1.7
711,143,161,7.3,8.7,3.5
712,143,229,6.9,9.7,2.5
713,144,399,6.8,7.8,2.0
714,144,172,4.9,8.6,1.9
715,144,294,6.4,7.4,2.5
716,144,232,5.0,6.7,2.7
717,144,235,9.7,6.1,3.0
718,144,9,7.0,7.8,1.9
719,145,161,6.3,6.6,2.4
720,145,169,5.9,7.4,2.9
721,145,212,5.2,9.1,3.6
722,145,329,6.0,9.8,1.7
723,145,128,6.7,7.0,1.9
724,146,278,7.8,6.8,2.1
725,146,265,7.7,10.0,4.5
726,146,113,8.4,7.6,2.5
727,146,10,7.0,7.6,1.9
728,146,229,7.3,8.1,2.8
729,146,177,7.0,5.5,1.5
730,147,174,7.5,9.7,2.4
731,147,371,8.6,8.0,0.7
732,147,263,5.6,7.0,3.0
733,147,74,6.6,10.0,2.3
734,147,345,8.1,8.0,4.0
735,148,159,7.3,7.4,3.3
736,148,333,5.5,8.4,1.9
737,148,198,6.2,8.1,3.3
738,148,44,3.8,7.8,1.2
739,148,106,4.9,7.6,3.3
740,148,348,5.9,10.0,1.6
741,149,311,5.9,8.8,0.9
742,149,174,6.8,7.6,1.9
743,149,253,5.1,7.0,3.2
744,149,343,5.2,9.4,3.8
745,149,364,7.0,6.5,1.5
746,150,149,3.8,10.0,2.6
747,150,32,5.3,9.4,3.2
748,150,109,7.4,9.0,1.7
749,150,268,8.1,8.6,2.8
750,150,335,6.3,8.4,1.5
751,151,158,4.6,8.8,0.5
752,151,244,4.5,8.8,1.3
753,151,286,4.4,8.8,1.1
754,151,400,6.2,9.4,3.1
755,151,243,7.0,8.2,2.1
756,152,153,5.3,7.9,0.9
757,152,228,6.8,8.5,1.6
758,152,95,8.0,7.5,2.9
759,152,21,5.2,7.6,2.5
760,153,316,6.2,7.8,2.8
761,153,100,7.4,10.0,1.3
762,153,266,9.1,8.7,0.5
763,153,66,7.0,6.4,2.2
764,153,338,9.1,7.1,0.7
765,153,400,6.4,7.8,1.0
766,154,329,5.2,8.1,2.1
767,154,220,5.7,7.8,0.2
768,154,176,5.3,8.7,2.6
769,154,340,6.0,8.9,1.2
770,155,386,5.9,7.4,3.1
771,155,112,6.1,8.2,1.5
772,155,135,5.1,9.6,3.0
773,155,267,5.1,9.0,1.6
