set_id,session_id,exercise_id,set_number,reps,load_kg,rpe,rest_sec
472,35,126,2,9,48.71,8.5,102
473,35,126,3,14,48.47,6.0,157
474,36,330,1,14,30.96,7.6,116
475,36,330,2,14,28.7,7.8,102
476,36,330,3,14,35.4,8.6,96
477,36,10,1,13,48.64,9.8,65
478,36,10,2,12,47.74,8.9,112
479,36,10,3,14,56.19,9.0,95
480,36,10,4,10,51.51,7.6,74
481,36,416,1,12,40.16,7.7,99
482,36,416,2,14,46.5,7.6,186
483,36,416,3,8,44.72,7.7,105
484,36,291,1,13,67.56,7.2,82
485,36,291,2,10,61.47,8.7,119
486,36,291,3,12,71.56,7.4,115
487,37,177,1,9,49.78,8.9,119
488,37,177,2,8,55.77,8.3,96
489,37,301,1,9,66.76,8.4,84
490,37,301,2,13,68.07,7.5,157
491,37,301,3,9,82.78,7.0,103
492,37,4,1,8,68.66,7.6,135
493,37,4,2,11,73.07,8.2,147
494,37,80,1,10,12.1,8.2,164
495,37,80,2,11,12.64,7.6,120
496,37,80,3,10,10.36,7.5,153
497,37,323,1,10,50.28,7.6,88
498,37,323,2,14,55.27,8.1,143
499,38,235,1,8,39.31,7.8,79
500,38,235,2,9,41.95,7.0,99
501,38,235,3,10,42.44,7.0,80
502,38,294,1,9,34.35,7.1,128
503,38,294,2,8,36.91,8.4,132
504,38,95,1,12,70.08,8.3,156
505,38,95,2,9,69.04,7.7,95
506,38,391,1,13,25.0,7.6,142
507,38,391,2,13,23.53,7.3,103
508,39,166,1,14,40.32,8.3,120
509,39,166,2,11,33.74,8.6,124
510,39,164,1,8,51.53,7.8,120
511,39,164,2,13,41.02,8.8,112
512,39,7,1,8,41.49,8.6,107
513,39,7,2,12,36.18,7.3,145
514,39,7,3,12,37.19,7.6,124
515,39,103,1,8,36.79,9.1,78
516,39,103,2,10,40.02,6.8,124
517,39,103,3,10,40.01,8.8,126
518,39,63,1,12,72.88,8.8,139
519,39,63,2,11,69.15,7.1,90
520,39,63,3,13,54.98,7.6,130
521,39,353,1,8,32.05,8.4,94
522,39,353,2,12,47.85,9.2,107
523,39,353,3,12,43.22,8.2,68
524,39,353,4,8,41.92,8.2,100
525,39,353,5,9,43.8,7.9,79
526,40,2,1,10,35.04,7.6,137
527,40,2,2,10,34.28,7.8,124
528,40,394,1,13,31.03,7.2,131
529,40,394,2,11,36.61,7.5,108
530,40,394,3,9,31.91,7.4,161
531,40,202,1,9,4.92,7.7,138
532,40,202,2,10,5.5,7.2,101
533,40,414,1,12,58.42,7.3,104
534,40,414,2,14,60.82,8.2,115
535,41,266,1,10,52.46,7.9,166
536,41,266,2,9,55.09,8.2,171
537,41,283,1,11,40.52,8.9,107
538,41,283,2,14,36.64,7.6,90
539,41,283,3,11,34.32,7.6,130
540,41,37,1,8,31.33,7.8,96
541,41,37,2,12,35.04,8.4,120
542,41,37,3,11,39.05,7.5,186
543,41,377,1,13,44.79,8.8,90
544,41,377,2,9,46.26,8.5,140
545,42,357,1,9,46.84,6.5,120
546,42,357,2,11,48.42,8.0,163
547,42,234,1,8,45.1,7.7,125
548,42,234,2,9,48.46,8.5,134
549,42,197,1,8,64.15,7.6,107
550,42,197,2,14,66.28,8.2,88
551,42,197,3,12,62.01,6.9,121
552,42,21,1,9,45.95,8.0,135
553,42,21,2,12,56.62,6.5,134
554,43,76,1,13,62.56,8.2,106
555,43,76,2,11,53.16,8.1,115
556,43,282,1,14,42.78,8.1,94
557,43,282,2,11,42.72,6.7,127
558,43,169,1,13,47.48,7.0,76
559,43,169,2,10,46.61,7.7,64
560,43,103,1,8,40.3,7.4,72
561,43,103,2,11,42.86,7.1,108
562,44,256,1,12,51.51,8.0,127
563,44,256,2,12,58.06,7.7,106
564,44,262,1,9,51.0,8.4,64
565,44,262,2,10,57.03,7.3,126
566,44,134,1,8,49.53,6.9,100
567,44,134,2,13,60.5,7.4,145
568,44,134,3,10,47.81,7.7,119
569,44,235,1,9,60.41,8.0,111
570,44,235,2,8,44.25,8.0,101
571,44,235,3,9,57.63,7.2,102
572,44,235,4,12,57.04,6.0,123
573,44,60,1,11,38.96,7.9,147
574,44,60,2,14,42.29,9.7,60
575,44,60,3,9,37.55,9.6,107
576,44,60,4,10,39.78,8.6,102
577,44,60,5,10,43.64,7.9,139
578,45,7,1,12,57.27,8.5,60
579,45,7,2,12,61.3,7.4,108
580,45,260,1,10,63.55,7.9,92
581,45,260,2,14,64.35,7.9,104
582,45,10,1,12,54.14,7.6,94
583,45,10,2,10,48.34,8.0,162
584,45,379,1,11,48.92,7.4,110
585,45,379,2,9,43.32,6.3,128
586,45,18,1,10,23.99,7.1,140
587,45,18,2,9,25.89,8.3,118
588,45,353,1,12,42.3,7.1,89
589,45,353,2,12,45.24,8.2,138
590,45,353,3,9,42.95,9.3,112
591,46,411,1,10,15.56,8.7,86
592,46,411,2,13,15.5,7.9,164
593,46,411,3,8,13.43,7.3,89
594,46,206,1,11,41.94,7.2,108
595,46,206,2,8,39.7,8.5,115
596,46,235,1,14,35.27,7.1,79
597,46,235,2,12,39.06,8.5,116
598,46,235,3,11,32.99,7.8,108
599,46,57,1,10,33.09,7.8,108
600,46,57,2,10,31.5,7.6,85
601,47,134,1,11,51.09,8.1,122
602,47,134,2,8,52.02,7.8,109
603,47,134,3,14,49.77,6.3,124
604,47,134,4,9,51.57,8.0,124
605,47,94,1,8,66.41,7.0,124
606,47,94,2,8,74.95,8.0,157
607,47,223,1,9,63.84,7.1,171
608,47,223,2,11,60.17,7.7,111
609,47,55,1,10,29.52,7.7,128
610,47,55,2,11,26.0,8.5,118
611,47,55,3,13,29.09,8.1,109
612,47,232,1,12,101.43,7.5,107
613,47,232,2,11,112.16,9.0,111
614,48,220,1,12,36.27,8.4,87
615,48,220,2,8,41.69,6.9,91
616,48,220,3,12,32.68,8.2,119
617,48,103,1,9,73.71,7.3,122
618,48,103,2,8,61.35,8.4,112
619,48,103,3,10,66.77,7.1,91
620,48,103,4,8,52.56,7.9,111
621,48,166,1,13,57.13,7.0,114
622,48,166,2,14,64.56,8.0,119
623,48,166,3,14,58.83,8.0,99
624,48,166,4,13,62.15,7.8,78
625,48,276,1,13,85.01,8.1,103
626,48,276,2,14,86.0,7.6,104
627,48,276,3,11,73.14,7.6,99
628,48,185,1,10,40.98,8.1,139
629,48,185,2,13,42.44,6.5,98
630,48,185,3,9,43.38,6.9,153
631,49,181,1,14,39.3,8.9,120
632,49,181,2,11,39.81,8.0,60
633,49,90,1,8,29.98,7.9,66
634,49,90,2,12,27.15,8.8,64
635,49,207,1,12,54.86,7.2,68
636,49,207,2,10,45.72,7.0,60
637,49,207,3,8,44.3,7.0,168
638,49,349,1,8,29.43,8.2,172
639,49,349,2,13,33.41,8.4,91
640,49,349,3,13,25.56,8.7,152
641,49,349,4,14,30.19,8.5,81
642,50,18,1,13,63.3,6.7,111
643,50,18,2,12,68.93,9.2,98
644,50,103,1,11,54.56,8.3,188
645,50,103,2,8,54.79,7.8,101
646,50,103,3,14,51.51,7.8,108
647,50,280,1,8,58.52,7.9,145
648,50,280,2,13,60.89,7.7,83
649,50,79,1,12,90.73,7.3,124
650,50,79,2,8,78.21,8.0,100
651,50,119,1,8,45.1,7.4,195
652,50,119,2,9,46.6,6.5,87
653,50,119,3,8,47.77,7.9,109
654,50,119,4,11,52.86,7.7,121
655,51,368,1,9,37.26,8.4,140
656,51,368,2,10,38.86,7.2,96
657,51,371,1,10,30.5,6.5,119
658,51,371,2,12,34.57,7.9,112
659,51,371,3,8,30.89,7.4,72
660,51,371,4,12,27.76,7.3,117
661,51,100,1,13,33.84,8.9,76
662,51,100,2,10,32.22,9.0,131
663,51,100,3,10,31.13,7.1,104
664,51,100,4,13,26.07,8.4,106
665,51,100,5,10,34.19,9.4,87
666,51,141,1,11,57.43,7.4,113
667,51,141,2,11,62.53,8.8,95
668,52,410,1,12,29.49,8.3,148
669,52,410,2,12,31.53,7.7,114
670,52,410,3,12,28.41,6.0,153
671,52,410,4,9,32.23,6.4,115
672,52,369,1,14,40.62,8.1,126
673,52,369,2,9,39.18,7.6,96
674,52,369,3,11,40.4,7.6,135
675,52,369,4,14,41.14,7.5,114
676,52,134,1,13,71.99,8.5,135
677,52,134,2,12,61.92,8.7,119
678,52,273,1,10,47.97,7.0,75
679,52,273,2,10,47.63,6.4,135
680,52,273,3,10,48.93,6.7,158
681,52,374,1,9,64.86,8.4,155
682,52,374,2,11,59.95,7.9,169
683,53,219,1,11,56.0,7.9,96
684,53,219,2,8,54.48,6.6,113
685,53,419,1,12,52.17,7.4,109
686,53,419,2,14,46.82,7.1,143
687,53,419,3,9,40.62,8.2,145
688,53,126,1,13,54.6,7.7,122
689,53,126,2,14,53.06,8.1,144
690,53,8,1,8,43.61,7.6,99
691,53,8,2,14,42.09,7.6,134
692,53,8,3,12,38.23,7.6,98
693,53,345,1,8,62.45,7.7,127
694,53,345,2,10,63.26,8.9,147
695,53,111,1,12,32.93,8.4,127
696,53,111,2,14,37.88,8.2,160
