metric_id,user_id,metric_date,weight_kg,waist_cm,bodyfat_est_pct
90,1,2025-03-31,80.25,71.74,23.05
91,1,2025-04-01,80.16,71.7,23.03
92,1,2025-04-02,80.09,71.56,23.04
93,1,2025-04-03,80.02,71.57,23.05
94,1,2025-04-04,79.92,71.42,22.95
95,1,2025-04-05,79.86,71.4,22.84
96,1,2025-04-06,79.8,71.31,22.92
97,1,2025-04-07,79.69,71.12,22.98
98,1,2025-04-08,79.58,71.15,22.92
99,1,2025-04-09,79.47,71.07,22.9
100,1,2025-04-10,79.39,71.03,22.95
101,1,2025-04-11,79.31,70.92,22.89
102,1,2025-04-12,79.23,70.91,22.93
103,1,2025-04-13,79.16,70.85,22.89
104,1,2025-04-14,79.07,70.67,22.83
105,1,2025-04-15,79.01,70.6,22.83
106,1,2025-04-16,78.93,70.52,22.83
107,1,2025-04-17,78.84,70.48,22.73
108,1,2025-04-18,78.76,70.51,22.75
109,1,2025-04-19,78.66,70.4,22.71
110,1,2025-04-20,78.59,70.28,22.72
111,1,2025-04-21,78.48,70.24,22.64
112,1,2025-04-22,78.37,70.17,22.56
113,1,2025-04-23,78.27,70.05,22.6
114,1,2025-04-24,78.23,70.07,22.6
115,1,2025-04-25,78.13,70.02,22.67
116,1,2025-04-26,78.06,69.98,22.75
117,1,2025-04-27,77.98,69.81,22.7
118,1,2025-04-28,77.9,69.89,22.68
119,1,2025-04-29,77.78,69.69,22.64
120,1,2025-04-30,77.7,69.53,22.61
121,1,2025-05-01,77.6,69.41,22.68
122,1,2025-05-02,77.49,69.33,22.66
123,1,2025-05-03,77.43,69.37,22.66
124,1,2025-05-04,77.32,69.3,22.62
125,1,2025-05-05,77.26,69.01,22.64
126,1,2025-05-06,77.19,68.97,22.61
127,1,2025-05-07,77.1,68.7,22.51
128,1,2025-05-08,77.02,68.66,22.39
129,1,2025-05-09,76.95,68.48,22.33
130,1,2025-05-10,76.89,68.45,22.32
131,1,2025-05-11,76.82,68.46,22.25
132,1,2025-05-12,76.77,68.39,22.15
133,1,2025-05-13,76.7,68.37,22.06
134,1,2025-05-14,76.58,68.31,22.05
135,1,2025-05-15,76.5,68.19,22.06
136,1,2025-05-16,76.43,68.09,22.02
137,1,2025-05-17,76.34,68.06,21.91
138,1,2025-05-18,76.27,68.04,21.84
139,1,2025-05-19,76.18,67.9,21.83
140,1,2025-05-20,76.11,67.98,21.79
141,1,2025-05-21,76.03,67.93,21.7
142,1,2025-05-22,75.98,67.9,21.64
143,1,2025-05-23,75.89,67.81,21.53
144,1,2025-05-24,75.85,67.73,21.51
145,1,2025-05-25,75.77,67.56,21.42
146,1,2025-05-26,75.64,67.31,21.41
147,1,2025-05-27,75.55,67.18,21.38
148,1,2025-05-28,75.45,67.15,21.26
149,1,2025-05-29,75.34,66.94,21.23
150,1,2025-05-30,75.3,66.92,21.22
151,1,2025-05-31,75.19,66.77,21.28
152,1,2025-06-01,75.13,66.8,21.28
153,1,2025-06-02,75.04,66.86,21.2
154,1,2025-06-03,74.97,66.87,21.13
155,1,2025-06-04,74.82,66.66,21.08
156,1,2025-06-05,74.77,66.72,21.17
157,1,2025-06-06,74.64,66.63,21.11
158,1,2025-06-07,74.52,66.59,21.04
159,1,2025-06-08,74.41,66.34,20.97
160,1,2025-06-09,74.31,66.16,20.87
161,1,2025-06-10,74.2,66.07,20.82
162,1,2025-06-11,74.17,65.91,20.81
163,1,2025-06-12,74.11,65.83,20.87
164,1,2025-06-13,74.05,65.74,20.84
165,1,2025-06-14,74.0,65.52,20.74
166,1,2025-06-15,73.96,65.39,20.64
167,1,2025-06-16,73.89,65.37,20.64
168,1,2025-06-17,73.84,65.35,20.72
169,1,2025-06-18,73.77,65.41,20.68
170,1,2025-06-19,73.73,65.42,20.7
171,1,2025-06-20,73.63,65.32,20.72
172,1,2025-06-21,73.53,65.34,20.59
173,1,2025-06-22,73.49,65.39,20.54
174,1,2025-06-23,73.43,65.37,20.58
175,1,2025-06-24,73.33,65.32,20.63
176,1,2025-06-25,73.23,65.12,20.57
177,1,2025-06-26,73.13,65.0,20.61
178,1,2025-06-27,73.08,64.98,20.51
179,1,2025-06-28,73.02,64.99,20.5
180,1,2025-06-29,72.96,64.93,20.42
181,2,2025-01-01,78.79,70.23,12.72
182,2,2025-01-02,78.73,70.09,12.71
183,2,2025-01-03,78.67,70.05,12.77
184,2,2025-01-04,78.58,69.94,12.68
185,2,2025-01-05,78.52,69.88,12.61
186,2,2025-01-06,78.43,69.59,12.55
187,2,2025-01-07,78.33,69.51,12.5
188,2,2025-01-08,78.25,69.49,12.45
189,2,2025-01-09,78.21,69.47,12.48
190,2,2025-01-10,78.13,69.51,12.53
191,2,2025-01-11,78.06,69.52,12.46
192,2,2025-01-12,77.97,69.36,12.47
193,2,2025-01-13,77.91,69.21,12.43
194,2,2025-01-14,77.86,69.01,12.47
195,2,2025-01-15,77.75,68.89,12.45
196,2,2025-01-16,77.65,68.75,12.38
197,2,2025-01-17,77.57,68.59,12.31
198,2,2025-01-18,77.47,68.35,12.36
199,2,2025-01-19,77.4,68.32,12.33
200,2,2025-01-20,77.33,68.31,12.3
201,2,2025-01-21,77.25,68.17,12.26
202,2,2025-01-22,77.14,68.07,12.23
203,2,2025-01-23,77.06,68.05,12.18
204,2,2025-01-24,76.99,67.93,12.17
205,2,2025-01-25,76.9,67.68,12.17
206,2,2025-01-26,76.83,67.59,12.15
207,2,2025-01-27,76.75,67.47,12.22
208,2,2025-01-28,76.69,67.29,12.23
209,2,2025-01-29,76.6,67.3,12.18
210,2,2025-01-30,76.53,67.1,12.09
211,2,2025-01-31,76.44,67.24,12.11
212,2,2025-02-01,76.38,67.16,12.1
213,2,2025-02-02,76.31,67.08,12.09
214,2,2025-02-03,76.25,67.11,12.19
215,2,2025-02-04,76.19,66.88,12.24
216,2,2025-02-05,76.1,66.98,12.23
217,2,2025-02-06,76.03,66.85,12.15
218,2,2025-02-07,75.99,66.85,12.21
219,2,2025-02-08,75.96,66.74,12.16
220,2,2025-02-09,75.89,66.72,12.27
221,2,2025-02-10,75.8,66.66,12.16
222,2,2025-02-11,75.74,66.73,12.11
223,2,2025-02-12,75.63,66.65,12.04
224,2,2025-02-13,75.54,66.59,12.0
225,2,2025-02-14,75.49,66.55,12.11
226,2,2025-02-15,75.39,66.35,12.07
227,2,2025-02-16,75.32,66.29,12.05
228,2,2025-02-17,75.27,66.29,12.04
229,2,2025-02-18,75.19,66.28,12.01
230,2,2025-02-19,75.14,66.35,12.01
231,2,2025-02-20,75.1,66.3,12.01
232,2,2025-02-21,75.0,66.06,12.02
233,2,2025-02-22,74.93,66.0,12.06
234,2,2025-02-23,74.87,65.89,12.01
235,2,2025-02-24,74.79,65.89,12.02
236,2,2025-02-25,74.73,65.85,12.0
237,2,2025-02-26,74.66,65.75,12.0
238,2,2025-02-27,74.59,65.91,11.98
239,2,2025-02-28,74.55,65.88,11.94
240,2,2025-03-01,74.5,65.87,11.97
241,2,2025-03-02,74.42,65.94,11.98
242,2,2025-03-03,74.34,65.85,11.92
243,2,2025-03-04,74.27,65.89,11.96
244,2,2025-03-05,74.23,65.87,11.99
245,2,2025-03-06,74.13,65.75,11.99
246,2,2025-03-07,74.06,65.59,12.0
247,2,2025-03-08,73.99,65.3,11.98
248,2,2025-03-09,73.92,65.23,11.91
249,2,2025-03-10,73.84,65.26,11.88
250,2,2025-03-11,73.74,65.14,11.82
251,2,2025-03-12,73.68,65.01,11.87
252,2,2025-03-13,73.58,64.85,11.85
253,2,2025-03-14,73.52,64.67,11.9
254,2,2025-03-15,73.42,64.64,11.85
255,2,2025-03-16,73.36,64.62,11.75
256,2,2025-03-17,73.26,64.59,11.74
257,2,2025-03-18,73.15,64.54,11.71
258,2,2025-03-19,73.08,64.38,11.68
259,2,2025-03-20,73.03,64.41,11.69
260,2,2025-03-21,72.96,64.37,11.62
261,2,2025-03-22,72.85,64.18,11.68
262,2,2025-03-23,72.77,63.76,11.63
263,2,2025-03-24,72.72,63.72,11.63
264,2,2025-03-25,72.62,63.81,11.63
265,2,2025-03-26,72.56,63.83,11.6
266,2,2025-03-27,72.49,63.69,11.56
267,2,2025-03-28,72.41,63.5,11.65
268,2,2025-03-29,72.3,63.41,11.69
269,2,2025-03-30,72.21,63.38,11.66
270,2,2025-03-31,72.15,63.27,11.68
271,2,2025-04-01,72.08,63.19,11.63
272,2,2025-04-02,72.05,63.14,11.61
273,2,2025-04-03,71.96,63.19,11.54
274,2,2025-04-04,71.88,63.11,11.49
275,2,2025-04-05,71.78,63.07,11.56
276,2,2025-04-06,71.7,62.97,11.5
277,2,2025-04-07,71.64,62.77,11.47
278,2,2025-04-08,71.57,62.71,11.43
279,2,2025-04-09,71.5,62.69,11.37
280,2,2025-04-10,71.43,62.7,11.39
281,2,2025-04-11,71.32,62.76,11.42
282,2,2025-04-12,71.21,62.74,11.44
283,2,2025-04-13,71.15,62.66,11.38
284,2,2025-04-14,71.08,62.82,11.28
285,2,2025-04-15,71.02,62.9,11.29
286,2,2025-04-16,70.96,62.86,11.22
287,2,2025-04-17,70.9,62.79,11.22
288,2,2025-04-18,70.82,62.83,11.28
289,2,2025-04-19,70.73,62.8,11.3
290,2,2025-04-20,70.67,62.67,11.29
291,2,2025-04-21,70.64,62.84,11.32
292,2,2025-04-22,70.57,62.89,11.21
293,2,2025-04-23,70.51,62.76,11.17
294,2,2025-04-24,70.41,62.73,11.1
295,2,2025-04-25,70.36,62.73,11.14
296,2,2025-04-26,70.3,62.81,11.11
297,2,2025-04-27,70.24,62.77,11.16
298,2,2025-04-28,70.17,62.79,11.21
299,2,2025-04-29,70.08,62.68,11.11
300,2,2025-04-30,70.0,62.69,11.1
301,2,2025-05-01,69.93,62.53,11.05
302,2,2025-05-02,69.85,62.42,11.08
303,2,2025-05-03,69.81,62.24,11.16
304,2,2025-05-04,69.73,62.22,11.19
305,2,2025-05-05,69.66,62.07,11.25
306,2,2025-05-06,69.57,61.99,11.2
307,2,2025-05-07,69.46,61.88,11.17
308,2,2025-05-08,69.36,61.96,11.13
309,2,2025-05-09,69.3,61.91,11.1
310,2,2025-05-10,69.24,61.69,11.07
311,2,2025-05-11,69.17,61.73,11.05
312,2,2025-05-12,69.09,61.47,11.08
313,2,2025-05-13,68.99,61.35,11.06
314,2,2025-05-14,68.91,61.25,11.06
315,2,2025-05-15,68.85,61.14,11.06
316,2,2025-05-16,68.79,61.07,11.11
317,2,2025-05-17,68.69,60.98,11.07
318,2,2025-05-18,68.61,60.81,11.0
319,2,2025-05-19,68.53,60.68,11.01
320,2,2025-05-20,68.45,60.67,10.95
321,2,2025-05-21,68.39,60.42,10.95
322,2,2025-05-22,68.31,60.39,10.89
323,2,2025-05-23,68.22,60.35,10.95
324,2,2025-05-24,68.14,60.25,10.9
325,2,2025-05-25,68.06,60.2,10.87
326,2,2025-05-26,68.02,59.94,10.93
327,2,2025-05-27,67.94,59.89,10.92
328,2,2025-05-28,67.88,59.89,10.9
329,2,2025-05-29,67.81,59.79,10.88
330,2,2025-05-30,67.73,59.59,10.88
331,2,2025-05-31,67.64,59.62,10.87
332,2,2025-06-01,67.54,59.53,10.92
333,2,2025-06-02,67.47,59.56,10.82
334,2,2025-06-03,67.39,59.59,10.84
335,2,2025-06-04,67.3,59.52,10.88
336,2,2025-06-05,67.23,59.42,10.87
337,2,2025-06-06,67.15,59.38,10.86
338,2,2025-06-07,67.06,59.24,10.76
339,2,2025-06-08,66.97,59.09,10.73
340,2,2025-06-09,66.87,59.01,10.75
341,2,2025-06-10,66.76,59.04,10.74
342,2,2025-06-11,66.67,59.05,10.71
343,2,2025-06-12,66.57,59.06,10.64
344,2,2025-06-13,66.52,58.88,10.62
345,2,2025-06-14,66.47,58.78,10.6
346,2,2025-06-15,66.36,58.57,10.47
347,2,2025-06-16,66.31,58.63,10.47
348,2,2025-06-17,66.27,58.61,10.43
349,2,2025-06-18,66.2,58.46,10.36
350,2,2025-06-19,66.12,58.4,10.27
351,2,2025-06-20,66.04,58.33,10.24
352,2,2025-06-21,65.99,58.34,10.23
353,2,2025-06-22,65.91,58.32,10.24
354,2,2025-06-23,65.81,58.28,10.16
355,2,2025-06-24,65.73,58.16,10.11
356,2,2025-06-25,65.64,58.08,10.1
357,2,2025-06-26,65.56,57.81,10.12
358,2,2025-06-27,65.46,57.71,10.11
359,2,2025-06-28,65.39,57.76,10.11
360,2,2025-06-29,65.31,57.66,10.15
361,3,2025-01-01,76.71,71.33,24.71
362,3,2025-01-02,76.68,71.31,24.84
363,3,2025-01-03,76.6,71.25,24.76
364,3,2025-01-04,76.52,71.17,24.74
365,3,2025-01-05,76.44,71.14,24.69
366,3,2025-01-06,76.38,71.04,24.67
367,3,2025-01-07,76.31,70.81,24.6
368,3,2025-01-08,76.23,70.62,24.64
369,3,2025-01-09,76.19,70.59,24.65
370,3,2025-01-10,76.11,70.65,24.58
371,3,2025-01-11,76.05,70.59,24.46
372,3,2025-01-12,76.0,70.4,24.4
373,3,2025-01-13,75.93,70.36,24.42
374,3,2025-01-14,75.86,70.21,24.42
375,3,2025-01-15,75.8,70.12,24.44
376,3,2025-01-16,75.75,70.21,24.4
377,3,2025-01-17,75.72,70.17,24.27
378,3,2025-01-18,75.64,70.02,24.26
379,3,2025-01-19,75.59,69.92,24.2
380,3,2025-01-20,75.53,69.9,24.2
381,3,2025-01-21,75.46,69.84,24.17
382,3,2025-01-22,75.39,69.8,24.3
383,3,2025-01-23,75.32,69.74,24.27
384,3,2025-01-24,75.25,69.65,24.24
385,3,2025-01-25,75.22,69.57,24.23
386,3,2025-01-26,75.13,69.45,24.29
387,3,2025-01-27,75.08,69.27,24.23
388,3,2025-01-28,75.02,69.12,24.12
389,3,2025-01-29,74.94,69.06,24.11
390,3,2025-01-30,74.87,68.96,24.09
391,3,2025-01-31,74.79,68.96,24.1
392,3,2025-02-01,74.73,68.86,24.18
393,3,2025-02-02,74.67,68.78,24.14
394,3,2025-02-03,74.58,68.79,24.0
395,3,2025-02-04,74.5,68.67,23.99
396,3,2025-02-05,74.48,68.53,24.0
397,3,2025-02-06,74.41,68.51,24.07
398,3,2025-02-07,74.34,68.46,24.05
399,3,2025-02-08,74.25,68.38,23.97
400,3,2025-02-09,74.19,68.45,23.94
401,3,2025-02-10,74.15,68.42,23.98
402,3,2025-02-11,74.08,68.43,24.03
403,3,2025-02-12,73.99,68.26,24.01
404,3,2025-02-13,73.92,68.08,23.98
405,3,2025-02-14,73.87,68.11,24.0
406,3,2025-02-15,73.85,68.11,23.98
407,3,2025-02-16,73.77,67.92,23.91
408,3,2025-02-17,73.72,67.8,23.79
409,3,2025-02-18,73.66,67.8,23.76
410,3,2025-02-19,73.59,67.63,23.68
411,3,2025-02-20,73.52,67.59,23.61
412,3,2025-02-21,73.46,67.59,23.68
413,3,2025-02-22,73.39,67.54,23.63
414,3,2025-02-23,73.33,67.59,23.6
415,3,2025-02-24,73.26,67.53,23.56
416,3,2025-02-25,73.2,67.47,23.58
417,3,2025-02-26,73.12,67.49,23.62
418,3,2025-02-27,73.09,67.46,23.72
419,3,2025-02-28,72.98,67.45,23.72
420,3,2025-03-01,72.92,67.38,23.79
421,3,2025-03-02,72.83,67.35,23.81
422,3,2025-03-03,72.72,67.22,23.73
423,3,2025-03-04,72.65,67.07,23.65
424,3,2025-03-05,72.61,67.04,23.7
425,3,2025-03-06,72.51,67.02,23.7
426,3,2025-03-07,72.46,66.97,23.66
427,3,2025-03-08,72.41,66.87,23.58
428,3,2025-03-09,72.34,66.73,23.5
429,3,2025-03-10,72.27,66.62,23.43
430,3,2025-03-11,72.19,66.56,23.49
431,3,2025-03-12,72.15,66.62,23.47
432,3,2025-03-13,72.06,66.51,23.49
433,3,2025-03-14,71.98,66.54,23.59
434,3,2025-03-15,71.9,66.44,23.61
435,3,2025-03-16,71.83,66.43,23.56
436,3,2025-03-17,71.76,66.44,23.51
437,3,2025-03-18,71.69,66.43,23.55
438,3,2025-03-19,71.65,66.41,23.53
439,3,2025-03-20,71.59,66.46,23.56
440,3,2025-03-21,71.53,66.32,23.51
441,3,2025-03-22,71.5,66.32,23.55
442,3,2025-03-23,71.44,66.25,23.56
443,3,2025-03-24,71.4,66.16,23.6
444,3,2025-03-25,71.32,66.08,23.52
445,3,2025-03-26,71.24,66.12,23.46
446,3,2025-03-27,71.2,66.07,23.46
447,3,2025-03-28,71.14,66.06,23.52
448,3,2025-03-29,71.05,66.03,23.42
449,3,2025-03-30,71.0,65.82,23.5
450,3,2025-03-31,70.94,65.79,23.47
451,3,2025-04-01,70.89,65.79,23.37
452,3,2025-04-02,70.85,65.75,23.39
453,3,2025-04-03,70.77,65.59,23.39
454,3,2025-04-04,70.71,65.6,23.39
455,3,2025-04-05,70.65,65.57,23.37
456,3,2025-04-06,70.59,65.64,23.39
457,3,2025-04-07,70.5,65.67,23.33
458,3,2025-04-08,70.44,65.69,23.34
459,3,2025-04-09,70.34,65.57,23.36
460,3,2025-04-10,70.3,65.61,23.33
461,3,2025-04-11,70.24,65.61,23.33
462,3,2025-04-12,70.22,65.53,23.31
463,3,2025-04-13,70.15,65.41,23.32
464,3,2025-04-14,70.08,65.4,23.36
465,3,2025-04-15,70.02,65.31,23.27
466,3,2025-04-16,69.95,65.44,23.29
467,3,2025-04-17,69.86,65.3,23.34
468,3,2025-04-18,69.8,65.23,23.33
469,3,2025-04-19,69.74,65.28,23.23
470,3,2025-04-20,69.66,65.19,23.2
471,3,2025-04-21,69.59,65.17,23.09
472,3,2025-04-22,69.52,65.15,23.08
473,3,2025-04-23,69.43,64.97,23.1
474,3,2025-04-24,69.35,64.82,23.06
475,3,2025-04-25,69.29,64.78,23.07
476,3,2025-04-26,69.2,64.7,22.99
477,3,2025-04-27,69.15,64.71,22.93
478,3,2025-04-28,69.08,64.56,22.92
479,3,2025-04-29,68.98,64.42,22.85
480,3,2025-04-30,68.93,64.37,22.77
481,3,2025-05-01,68.88,64.4,22.86
482,3,2025-05-02,68.83,64.29,22.88
483,3,2025-05-03,68.76,64.24,22.83
484,3,2025-05-04,68.71,64.23,22.7
485,3,2025-05-05,68.65,64.12,22.67
486,3,2025-05-06,68.57,64.01,22.74
487,3,2025-05-07,68.5,63.87,22.71
488,3,2025-05-08,68.41,63.71,22.71
489,3,2025-05-09,68.37,63.72,22.69
490,3,2025-05-10,68.35,63.79,22.61
491,3,2025-05-11,68.29,63.67,22.56
492,3,2025-05-12,68.26,63.56,22.35
493,3,2025-05-13,68.19,63.53,22.32
494,3,2025-05-14,68.13,63.5,22.31
495,3,2025-05-15,68.08,63.42,22.29
496,3,2025-05-16,68.01,63.43,22.31
497,3,2025-05-17,67.93,63.25,22.32
498,3,2025-05-18,67.84,63.07,22.35
499,3,2025-05-19,67.78,62.92,22.37
500,3,2025-05-20,67.72,62.81,22.46
501,3,2025-05-21,67.67,62.84,22.43
502,3,2025-05-22,67.61,62.8,22.44
503,3,2025-05-23,67.55,62.92,22.39
504,3,2025-05-24,67.47,62.88,22.4
505,3,2025-05-25,67.41,62.79,22.33
506,3,2025-05-26,67.34,62.83,22.32
507,3,2025-05-27,67.26,62.83,22.28
508,3,2025-05-28,67.22,62.82,22.24
509,3,2025-05-29,67.18,62.88,22.19
510,3,2025-05-30,67.13,62.84,22.17
511,3,2025-05-31,67.04,62.85,22.17
512,3,2025-06-01,66.99,62.77,22.15
513,3,2025-06-02,66.93,62.69,22.14
514,3,2025-06-03,66.87,62.72,22.05
515,3,2025-06-04,66.8,62.57,22.01
516,3,2025-06-05,66.75,62.41,22.06
517,3,2025-06-06,66.7,62.36,22.03
518,3,2025-06-07,66.64,62.32,22.0
519,3,2025-06-08,66.61,62.27,22.03
520,3,2025-06-09,66.57,62.25,21.94
521,3,2025-06-10,66.49,62.17,21.93
522,3,2025-06-11,66.44,62.12,21.96
523,3,2025-06-12,66.39,62.17,22.02
524,3,2025-06-13,66.32,62.04,21.97
525,3,2025-06-14,66.27,61.99,21.88
526,3,2025-06-15,66.2,61.95,21.86
527,3,2025-06-16,66.14,61.89,21.77
528,3,2025-06-17,66.07,61.89,21.74
529,3,2025-06-18,66.0,61.8,21.65
530,3,2025-06-19,65.92,61.85,21.57
531,3,2025-06-20,65.84,61.76,21.61
532,3,2025-06-21,65.78,61.68,21.69
533,3,2025-06-22,65.74,61.48,21.76
534,3,2025-06-23,65.69,61.54,21.73
535,3,2025-06-24,65.64,61.41,21.7
536,3,2025-06-25,65.58,61.22,21.7
537,3,2025-06-26,65.51,61.03,21.69
538,3,2025-06-27,65.42,60.95,21.71
539,3,2025-06-28,65.3,60.71,21.66
540,3,2025-06-29,65.24,60.74,21.62
541,4,2025-01-01,68.74,87.44,25.69
542,4,2025-01-02,68.7,87.44,25.71
543,4,2025-01-03,68.62,87.28,25.69
544,4,2025-01-04,68.55,87.16,25.65
545,4,2025-01-05,68.52,87.18,25.61
546,4,2025-01-06,68.45,87.11,25.58
547,4,2025-01-07,68.42,87.06,25.6
548,4,2025-01-08,68.39,87.04,25.68
549,4,2025-01-09,68.37,86.97,25.67
550,4,2025-01-10,68.35,86.94,25.67
551,4,2025-01-11,68.24,86.81,25.68
552,4,2025-01-12,68.19,86.74,25.58
553,4,2025-01-13,68.14,86.72,25.66
554,4,2025-01-14,68.11,86.63,25.63
555,4,2025-01-15,68.06,86.5,25.52
556,4,2025-01-16,67.99,86.4,25.54
557,4,2025-01-17,67.94,86.43,25.45
558,4,2025-01-18,67.87,86.21,25.41
559,4,2025-01-19,67.82,86.3,25.35
560,4,2025-01-20,67.79,86.36,25.34
561,4,2025-01-21,67.74,86.26,25.28
562,4,2025-01-22,67.72,86.14,25.27
563,4,2025-01-23,67.67,86.14,25.35
564,4,2025-01-24,67.58,86.02,25.31
565,4,2025-01-25,67.54,86.08,25.24
566,4,2025-01-26,67.45,85.9,25.25
567,4,2025-01-27,67.42,85.81,25.27
568,4,2025-01-28,67.36,85.87,25.24
569,4,2025-01-29,67.25,85.75,25.14
570,4,2025-01-30,67.22,85.76,25.12
571,4,2025-01-31,67.18,85.81,25.11
572,4,2025-02-01,67.13,85.77,25.11
573,4,2025-02-02,67.09,85.92,25.17
574,4,2025-02-03,67.08,85.94,25.16
575,4,2025-02-04,67.01,85.99,25.18
576,4,2025-02-05,66.95,85.79,25.2
577,4,2025-02-06,66.89,85.75,25.15
578,4,2025-02-07,66.82,85.74,25.06
579,4,2025-02-08,66.73,85.65,25.01
580,4,2025-02-09,66.69,85.65,24.98
581,4,2025-02-10,66.64,85.54,24.92
582,4,2025-02-11,66.59,85.42,24.84
583,4,2025-02-12,66.55,85.39,24.91
584,4,2025-02-13,66.48,85.16,24.99
585,4,2025-02-14,66.44,85.16,25.08
586,4,2025-02-15,66.4,85.03,25.05
587,4,2025-02-16,66.34,84.96,25.01
588,4,2025-02-17,66.27,85.0,24.94
589,4,2025-02-18,66.19,85.01,24.9
590,4,2025-02-19,66.12,84.82,24.88
591,4,2025-02-20,66.09,84.78,24.91
592,4,2025-02-21,66.03,84.68,24.85
593,4,2025-02-22,65.95,84.54,24.9
594,4,2025-02-23,65.87,84.42,24.89
595,4,2025-02-24,65.82,84.35,24.89
596,4,2025-02-25,65.75,84.28,24.87
597,4,2025-02-26,65.67,84.18,24.87
598,4,2025-02-27,65.59,83.9,24.89
599,4,2025-02-28,65.55,83.85,24.86
600,4,2025-03-01,65.49,83.77,24.9
601,4,2025-03-02,65.39,83.57,24.89
602,4,2025-03-03,65.29,83.48,24.91
603,4,2025-03-04,65.23,83.54,24.81
604,4,2025-03-05,65.15,83.44,24.76
605,4,2025-03-06,65.11,83.37,24.83
